Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5",0603,5,100nF,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D3, D4, D5, D6, D7, D8, D9",HD107s,20,~,
F1,0603,1,Fuse,
J1,JST_S04B-PASK-2_LF__SN_,1,Conn_01x04_Pin,
