Designator,Mid X,Mid Y,Rotation,Layer
J2,118.875,-45.5,90.0,bottom
J3,81.125,-45.5,270.0,bottom
J4,81.125,-61.5,270.0,bottom
J6,100.0,-39.675,180.0,bottom
L1,111.0,-67.0,0.0,bottom
L2,87.0,-53.25,90.0,top
L3,83.25,-51.5,225.0,top
R1,118.0,-54.0,0.0,top
R10,97.75,-48.75,45.0,top
R11,84.0,-42.25,270.0,top
R12,99.0,-70.0,270.0,top
R13,85.25,-62.75,270.0,top
R14,95.75,-61.25,270.0,top
R15,94.75,-61.25,270.0,top
R16,100.75,-64.75,90.0,top
R17,101.5,-63.25,180.0,top
R18,111.75,-68.0,270.0,top
R2,119.0,-52.5,0.0,top
R20,78.5,-62.75,0.0,top
R21,86.75,-60.0,0.0,top
R22,86.75,-58.75,0.0,top
R23,98.0,-50.25,0.0,top
R24,98.0,-51.25,0.0,top
R25,93.0,-47.5,90.0,top
R26,98.0,-52.25,0.0,top
R27,98.0,-53.25,0.0,top
R28,98.0,-54.25,0.0,top
R29,98.0,-55.25,0.0,top
R3,107.0,-71.5,0.0,top
R30,93.0,-57.75,90.0,top
R31,94.5,-57.5,180.0,top
R32,108.75,-39.75,0.0,top
R33,108.75,-40.75,0.0,top
R34,108.75,-38.75,0.0,top
R35,93.0,-68.0,135.0,top
R36,91.0,-47.5,90.0,top
R4,120.0,-57.5,180.0,top
R5,121.0,-58.5,0.0,top
R6,117.0,-68.25,0.0,top
R7,101.75,-43.25,90.0,top
R8,98.75,-43.25,90.0,top
R9,95.0,-47.5,90.0,top
SW1,79.75,-45.5,180.0,top
SW2,79.75,-59.5,0.0,top
TP10,111.0,-42.0,0.0,top
TP11,113.25,-43.5,0.0,top
TP12,82.0,-38.0,0.0,top
TP13,82.75,-40.0,0.0,top
TP14,94.0,-41.75,0.0,top
TP15,94.0,-40.0,0.0,top
TP16,114.25,-50.0,0.0,top
TP17,97.25,-62.0,0.0,top
TP18,82.75,-56.75,0.0,top
TP19,81.75,-62.0,0.0,top
TP20,88.25,-43.0,0.0,top
TP21,111.0,-48.5,0.0,top
TP22,86.0,-63.75,0.0,top
TP23,96.5,-61.5,0.0,top
TP24,93.75,-66.25,0.0,top
TP25,92.75,-64.0,0.0,top
TP26,120.5,-60.0,0.0,top
TP27,105.25,-62.75,0.0,top
TP28,105.25,-71.5,0.0,top
TP29,108.0,-49.0,0.0,top
TP30,79.75,-42.75,0.0,top
TP4,98.25,-62.25,0.0,top
TP5,112.25,-38.25,0.0,top
TP6,106.25,-41.0,0.0,top
TP7,106.0,-38.25,0.0,top
TP8,91.1,-68.3,0.0,top
TP9,93.0,-46.25,0.0,top
U1,100.0,-39.0,90.0,top
U10,92.0,-52.75,90.0,top
U2,115.03764,-38.47578,246.34699999999998,top
U3,84.96236,-38.47578,203.654,top
U4,102.0,-52.712311,180.0,top
U6,116.5,-62.0,90.0,top
U7,107.0,-69.0,270.0,top
U8,97.0,-65.5,180.0,top
U9,87.5,-66.25,90.0,top
Y1,91.5,-44.25,0.0,top
Y2,89.0,-70.5,0.0,top
Y3,96.0,-70.0,0.0,top
