Designator,Mid X,Mid Y,Rotation,Layer
J1,90.75,-65.0,180.0,top
J2,79.25,-65.0,0.0,top
J3,93.25,-73.5,270.0,top
J4,76.75,-73.5,270.0,top
SW1,85.0,-73.25,0.0,top
